gene,Comp1_loading,Comp2_loading,abs_Comp1,abs_Comp2,in_M178_SREBF1_BTM,sterol_focus_gene
LOC100288617,-0.007272926652071776,0.03927754741886332,0.007272926652071776,0.03927754741886332,FALSE,FALSE
ASB13,0.0011537834664247174,0.0389772289894406,0.0011537834664247174,0.0389772289894406,FALSE,FALSE
ZNF257,-0.014627698871884053,-0.038167911264852895,0.014627698871884053,0.038167911264852895,FALSE,FALSE
CTSK,0.016030897195783683,0.037789408356664875,0.016030897195783683,0.037789408356664875,FALSE,FALSE
NEK6,0.005888848789783227,0.037393652173475914,0.005888848789783227,0.037393652173475914,FALSE,FALSE
ADAM9,-0.007747417637890483,0.037346585948230156,0.007747417637890483,0.037346585948230156,FALSE,FALSE
DENND1A,-5.167044250946349e-4,0.03733605004877797,5.167044250946349e-4,0.03733605004877797,FALSE,FALSE
C8orf47,-0.03373006508731733,-0.037046966545732855,0.03373006508731733,0.037046966545732855,FALSE,FALSE
LOC151760,-0.03438216704020688,-0.03627204191269753,0.03438216704020688,0.03627204191269753,FALSE,FALSE
DNAH6,-0.04438297672139641,-0.03540403184533719,0.04438297672139641,0.03540403184533719,FALSE,FALSE
MITF,0.016194588545424042,0.03530980777073244,0.016194588545424042,0.03530980777073244,FALSE,FALSE
C17orf105,-0.026670438762232993,-0.035284637614436835,0.026670438762232993,0.035284637614436835,FALSE,FALSE
ACVR2A,0.004078355386011637,0.03524849352934043,0.004078355386011637,0.03524849352934043,FALSE,FALSE
LOC642236,0.006622223208124736,0.035087595428975854,0.006622223208124736,0.035087595428975854,FALSE,FALSE
C18orf54,-0.020492641484928357,-0.03502179276288172,0.020492641484928357,0.03502179276288172,FALSE,FALSE
CFP,-0.003309034887215064,0.035002961762592016,0.003309034887215064,0.035002961762592016,FALSE,FALSE
VWDE,-0.0020339917683145476,0.034949762100950146,0.0020339917683145476,0.034949762100950146,FALSE,FALSE
FADS1,0.011538739943704983,0.03484489448638764,0.011538739943704983,0.03484489448638764,FALSE,FALSE
CKAP4,-0.0013144479779006173,0.03480580121917962,0.0013144479779006173,0.03480580121917962,FALSE,FALSE
ZNF516,-0.0037327539156996234,0.03478606951496746,0.0037327539156996234,0.03478606951496746,FALSE,FALSE
ZBED4,0.005217400794682061,0.03470569962391849,0.005217400794682061,0.03470569962391849,FALSE,FALSE
PLD1,1.0492105255290426e-4,0.03437440322231684,1.0492105255290426e-4,0.03437440322231684,FALSE,FALSE
GNA15,-0.004598573280591993,0.034218988017342127,0.004598573280591993,0.034218988017342127,FALSE,FALSE
NOD2,-0.010459648046003016,0.033926252609349734,0.010459648046003016,0.033926252609349734,FALSE,FALSE
FXYD6,0.0024246270316376846,0.03351908322356535,0.0024246270316376846,0.03351908322356535,FALSE,FALSE
SH3BP4,-0.0022070129029801,0.03340844362197486,0.0022070129029801,0.03340844362197486,FALSE,FALSE
TLR2,-0.012312735592722598,0.03332107103319627,0.012312735592722598,0.03332107103319627,FALSE,FALSE
H1FNT,-0.03663071623977135,-0.03318925717794857,0.03663071623977135,0.03318925717794857,FALSE,FALSE
CDK5R1,0.004671232252817119,0.033186578494749215,0.004671232252817119,0.033186578494749215,FALSE,FALSE
ST18,-0.020941541319281068,-0.03314660711805657,0.020941541319281068,0.03314660711805657,FALSE,FALSE
